12.969659,77.628228	Lukmi	48e915c345f2157c
19.314692,72.855048	Licious	f5b3f84ed7684ec2
21.651716621420263,85.6094853579998	Breakfast	83cb226b05117c40
21.651716621420263,85.6094853579998	Breakfast Items	83cb226b05117c40
28.5332622,77.1298204	Whiskey	47a3cbd8fa3b6d53
25.790866,84.746307	Chat	f5316b88-8736-0c5a-97ad-60d3393033c4
8.417487708192887,77.01866324990988	Rafi Restaurant	1150d9926c94ea5d
24.5237395,74.508242	Burger	e4e276f23f51cb8d
24.5237395,74.508242	Burger	e4e276f23f51cb8d
10.1047006,78.807115	Tandoori Chicken	378940841c214b9a
12.969659,77.628228	Lukme	48e915c345f2157c
18.76745482805762,73.86467048317283	Hotel Aarti Executive	9280C99F-5232-4A7A-9C28-133730914779
19.15467875740924,73.23439188301563	Rolls & Sandwiches	8e7101d8643f3f17
19.15467875740924,73.23439188301563	Rolls & Sandwiches	8e7101d8643f3f17
25.790866,84.746307	Chat	f5316b88-8736-0c5a-97ad-60d3393033c4
20.2894305,85.21012689999999	Curd Rice	2fb36cd683fc41d4
16.287362,80.370408	Manchurian	ee25c9c48927afdf
21.7046792,72.95378	Chicken Dam Biryani	8304e637-7f29-c557-e5d3-e44e72e0b899
19.1938598528639,77.29630842804907	Khari	5c4e2390444166e6
25.788093,84.747063	Chat	f5316b88-8736-0c5a-97ad-60d3393033c4
19.15467875740924,73.23439188301563	Bear	8e7101d8643f3f17
26.9880088,75.861032	M M khan Hotel	8cb42837-c748-98f8-d144-f42021b2f67a
15.841290869098877,80.36507774144411	Butter Naan	4cd048d51b1523c5
11.911230781995842,79.80562895536423	Tacos	19815e0487f65f72
15.841290869098877,80.36507774144411	Butter Naan	4cd048d51b1523c5
25.3411923,82.8426899	Thali	7fbbe2c072bfb7f5
8.63381920501434,76.84578415006399	Pizza	8cb5bf309830e0ce
28.606440914011134,77.35431388020515	Chow Mein	a55818a835b45337
16.8551571,82.23252269999999	Biryani	026826dfe9bc220c
12.99811330406127,77.60011721402407	CTR	622B57C0-104B-43A0-A9B0-42CA015E74DC
22.667132889210023,72.75090727955103	Mazda Bakry	d671d6db407a58db
22.4168529,88.40017530000001	Pancake	0536b616dd89e66d
10.8483838,76.9758274	Cake	08910b765f2f3690
25.61527057970432,88.1155312433839	Biryani	8f77a9537e3bf5ac
9.4928042,76.3449152	Maggi	cee0d7d8e420d02b
10.086970819508462,76.64786696434021	Cafe Manara	8b092bc79d9e739b
12.969659,77.628228	Lukuchi	48e915c345f2157c
28.60787762013168,77.08644032478333	Sabazi	82f783f8f4c1fbd2
